strategy_id,name,family_id,alpha_bucket,status,elapsed_s,cagr,benchmark_alpha,benchmark_beta,total_return,max_drawdown,monthly_sharpe,monthly_sortino,calmar,win_ratio,avg_n_stock,max_n_stock,trade_count,avg_trade_return,median_trade_return,match_days,avg_daily_matches,max_daily_matches,latest_matches
alpha_miner_pymoo_nsga3_novelty_0081,Pymoo NSGA-III novelty 0081 breadth trend impulse,TREND_RECLAIM_CONTINUATION,trend_following,ok,1.097,0.1709533914458521,0.23699508024516164,1.47819512222634,0.6911568373135157,-0.1785726119809673,1.0312796966370652,2.583550590128603,0.9572790404928767,0.45501387237415775,330.57142857142856,448.0,13436,0.013644147932193033,-0.0072780458853412,830,341.66506024096384,527,341
alpha_miner_pymoo_nsga3_novelty_0187,Pymoo NSGA-III novelty 0187 revenue short trend,REVENUE_QUALITY_MOMENTUM,trend_following,ok,0.424,0.14932456468000832,0.22252437453547266,1.6384136118180885,0.5893787622199609,-0.1754952839644438,0.9094341836406546,2.175118525116252,0.850826603660893,0.46428227128121086,270.35714285714283,346.0,11035,0.012699970922784368,-0.0056295263157896125,830,272.30481927710844,397,302
alpha_miner_pymoo_nsga3_novelty_0193,Pymoo NSGA-III novelty 0193 sentiment margin flow,SMART_MONEY_ACCUMULATION,defensive_accumulation,ok,0.571,0.21857763551831333,0.30020522080230955,1.8270504676612533,0.9311889348540381,-0.21157942523175377,1.1803705841226202,2.910371794082028,1.0330272190063627,0.47301330365724115,510.7857142857143,618.0,20447,0.018287700905035117,-0.004819277108433773,830,519.3361445783132,618,539
alphabuilders_multifactor_revenue_quality_momentum_v1,AlphaBuilders multifactor revenue quality momentum,REVENUE_QUALITY_MOMENTUM,trend_following,ok,0.785,0.19788953202529602,0.2642556380518255,1.485456474435245,0.824177910576841,-0.17059643640416977,1.2080123917989267,3.2375720041249516,1.1599183254522243,0.4523304585512984,564.0714285714286,1114.0,22706,0.015389652285536187,-0.007465500065652719,830,599.2915662650603,1176,780
breakout_vol_expansion_seed_v1,Breakout volume expansion seed,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,ok,0.681,0.2468867480313397,0.3188187067624956,1.610035607231358,1.0846340353954966,-0.19404142903444,1.1571273247150922,3.371723985240178,1.2722748255954484,0.43951819579702717,209.35714285714286,476.0,8369,0.018651979640930696,-0.012888208710345572,830,224.96024096385543,738,243
defensive_accumulation_seed_v1,Defensive accumulation seed,SMART_MONEY_ACCUMULATION,defensive_accumulation,ok,0.637,0.1588245285155574,0.22305941946034735,1.4377540035336307,0.6335384367942105,-0.16529214052174102,1.0331179938620711,2.537267940483337,0.9608135019562455,0.44780722387747635,507.0952380952381,962.0,20239,0.013388833696863793,-0.008038299906181212,830,538.4831325301204,1050,512
finlab_ai_skill_broker_accumulation_reclaim_v1,FinLab AI broker accumulation reclaim,SMART_MONEY_ACCUMULATION,defensive_accumulation,ok,2.151,0.15749120121132276,0.21916716009373274,1.3804780470659956,0.6272894478083941,-0.15667394174213534,0.9542813616422026,2.520071143927763,1.005152151906645,0.4467792370231395,209.95238095238096,455.0,8544,0.013763145878015892,-0.008829148746246185,830,222.21204819277108,470,215
finlab_ai_skill_quality_trend_v1,FinLab AI quality trend,REVENUE_QUALITY_MOMENTUM,trend_following,ok,0.558,0.21287221433581438,0.27279862617397804,1.341318359390987,0.9012502322314624,-0.096303367572395,1.1100091513376786,2.950518231078374,2.2102042499532235,0.4637479085331846,100.30952380952381,297.0,3843,0.016034137717884842,-0.00700373673862309,830,110.92530120481928,383,137
finlab_ai_skill_revenue_revision_breakout_v1,FinLab AI revenue revision breakout,REVENUE_QUALITY_MOMENTUM,breakout_vol_expansion,ok,0.702,0.2692498871549931,0.32764930897507333,1.307140111719608,1.2117287669549581,-0.10295279091259468,1.168879578733631,4.95663186080173,2.6150212593164834,0.48424068767908307,9.619047619047619,32.0,394,0.03964726167824124,-0.004353372434017566,826,11.812048192771085,49,23
finlab_ai_skill_reversion_value_v1,FinLab AI reversion value,REVENUE_QUALITY_MOMENTUM,mean_reversion,ok,0.718,0.08836177969418113,0.13327048749481468,1.0051807278598626,0.32564301400130424,-0.12460157070262978,0.7768459748685451,1.557635287982672,0.7090977121622652,0.46920460302525874,365.85714285714283,656.0,14477,0.007282276175953204,-0.0027498469508558943,830,413.6012048192771,821,312
trend_following_seed_v1,Trend following seed,TREND_RECLAIM_CONTINUATION,trend_following,ok,0.704,0.2354426262702496,0.2994087441699803,1.431738121574582,1.0216137248683017,-0.16041234996946685,1.2428691967125816,3.8598974788056815,1.467642297442104,0.45165914140328245,377.54761904761904,835.0,14891,0.017950443040656884,-0.00909384986686812,830,395.74939759036147,1011,483
